id,cityName,lon,lat,pop2013,pop2014,pop2015,pop2016,pop2017,,,,,,,,,,,
1,合肥市,117.17,31.52,761.1,769.6,779,786.9,796.5,,,,,,,,,,,
2,芜湖市,118.43,31.35,359.6,361.7,365.4,367,369.6,,,,,,,,,,,
3,蚌埠市,117.39,32.92,322,325.8,329.1,333.1,337.7,,,,,,,,,,,
4,淮南市,116.99,32.63,337.5,339.6,343.1,345.6,348.7,,,,,,,,,,,
5,马鞍山市,118.50,31.71,220.8,222.9,226.2,227.6,230.2,,,,,,,,,,,
6,淮北市,116.8,33.95,214.2,215.9,217.9,220.8,222.8,,,,,,,,,,,
7,铜陵市,117.81,30.94,158.1,158.5,159.2,160.1,160.8,,,,,,,,,,,
8,安庆市,117.05,30.52,450,452.9,458.6,461.2,464.3,,,,,,,,,,,
9,黄山市,118.33,29.71,135.6,136.3,137.4,137.9,138.4,,,,,,,,,,,
10,滁州市,118.32,32.30,396.2,398.5,401.7,404.4,407.6,,,,,,,,,,,
11,阜阳市,115.81,32.89,771.6,782.3,790.1,799.1,809.3,,,,,,,,,,,
12,宿州市,116.98,33.64,543.1,548.6,554.1,559.9,565.7,,,,,,,,,,,
13,六安市,116.51,31.75,466.5,470.4,474.1,477.2,480,,,,,,,,,,,
14,亳州市,115.78,33.84,495,499.6,504.7,510.4,516.9,,,,,,,,,,,
15,池州市,117.49,30.66,142.2,143,143.6,144.3,144.9,,,,,,,,,,,
16,宣城市,118.76,30.94,256.3,257.4,259.2,260.1,261.4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
