id,cityName,lon,lat,stu2013,stu2014,stu2015,stu2016,stu2017,,,,,,
1,合肥市,117.17,31.52,9.49,10.14,10.81,10.89,11.26,,,,,,
2,芜湖市,118.43,31.35,9.09,9.23,10.01,10.11,10.12,,,,,,
3,蚌埠市,117.39,32.92,8.74,8.84,9.46,9.62,9.85,,,,,,
4,淮南市,116.99,32.63,8.6,8.68,9.25,9.37,9.38,,,,,,
5,马鞍山市,118.50,31.71,8.91,8.92,8.94,8.99,9.16,,,,,,
6,淮北市,116.8,33.95,9.11,9.15,9.36,9.54,9.65,,,,,,
7,铜陵市,117.81,30.94,8.45,8.6,8.85,9.1,9.28,,,,,,
8,安庆市,117.05,30.52,8.41,8.53,8.72,8.91,9.01,,,,,,
9,黄山市,118.33,29.71,8.68,8.69,8.69,8.84,9,,,,,,
10,滁州市,118.32,32.30,8.41,8.74,8.75,8.97,8.98,,,,,,
11,阜阳市,115.81,32.89,8.25,8.26,8.27,8.41,8.42,,,,,,
12,宿州市,116.98,33.64,8.58,8.59,8.59,8.66,8.67,,,,,,
13,六安市,116.51,31.75,8.17,8.26,8.62,8.77,8.78,,,,,,
14,亳州市,115.78,33.84,7.98,7.99,8.13,8.29,8.3,,,,,,
15,池州市,117.49,30.66,8.48,8.54,8.84,9.06,9.07,,,,,,
16,宣城市,118.76,30.94,8.39,8.4,8.47,8.59,8.71,,,,,,
,,,,,,,,,,,,,,
